"term","estimate","std.error","statistic","p.value"
"(Intercept)",1.22222222222222,0.255013485725249,4.79277485559741,"0.000001874"
"budgetlow",-0.155555555555547,0.273471496845653,-0.568818166974609,"0.569597479"
"budgetmedium",0.0824135393671882,0.262503238255381,0.313952467462557,"0.753617602"
"pricelow",0.239316239316231,0.331743797558189,0.721388737567139,"0.470826077"
"pricemedium",0.377777777777783,0.307076900722809,1.23023834384337,"0.218875018"
"budgetlow:pricelow",-0.178323331514818,0.355014345200924,-0.50229894629721,"0.615559362"
"budgetmedium:pricelow",-0.50447831669511,0.341316667074816,-1.47803598640124,"0.139688902"
"budgetlow:pricemedium",-0.277777777777783,0.328121755981589,-0.846569216194762,"0.397422299"
"budgetmedium:pricemedium",-0.406357201339017,0.315944600597077,-1.28616599419986,"0.198660033"
